Type,PlayerID,PlayerID_Override,Order,Rosterable,DOB,Range$,Target,Team,Pos,Prj$,Player,Drafted,MyRank,YahRnk,ESPNRnk,Other,TierID,MyLeague$,Yah$,YAvg$,YDelta$,ESPN$,Actual$,Manager,Paid$,Delta$,Surplus,Budget%,PrjPts/Gm,GamesPlayed,EOS_Total,EOS_Avg,EOS_Avg_Delta,EOS_Surplus,Year,Age,Bye,Notes
Player,00-0036040,,164,Yes,35321,$1,,NO,TE,1,Juwan Johnson,,164,161,172,,T19,1,1,1.1,0.1,1,,,,,,,8.77,16,171.8,10.7375,,,7,29,8,
x,00-0039150,,165,Yes,37097,$1,,CAR,QB,1,Bryce Young,,165,162,207,,Q23,1,1,3,2,1,,,,,,,16.01,15,229.5,15.3,,,4,24,5,
Player,00-0034869,,166,Yes,35586,$1,,SEA,QB,1,Sam Darnold,,166,163,176,,Q24,1,1,2,1,1,,,,,,,17.46,16,256.6,16.0375,,,9,29,11,
Player,00-0036259,,167,Yes,35621,$1,,MIN,WR,1,Jauan Jennings,,167,165,190,,W62,1,1,0,-1,1,,,,,,,0,14,164.8,11.77142857,,,6,28,6,
Player,WAS797326,,168,No,37805,$1,,LV,RB,1,Mike Washington Jr.,,168,166,203,,R58,1,1,0,-1,1,,,,,,,4.27,0,0,0,,,0,22,13,
Player,JOH224817,,169,No,37904,$1,,KC,RB,1,Emmett Johnson,,169,167,226,,R59,1,1,1,0,1,,,,,,,3.35,0,0,0,,,0,22,5,
Player,00-0036407,,170,No,36274,$1,,CLE,WR,1,Jerry Jeudy,,170,169,181,,W63,1,1,0,-1,1,,,,,,,7.5,16,115.5,7.21875,,,7,27,11,
Player,00-0039855,,171,Yes,37232,$1,,TB,WR,1,Jalen McMillan,,171,170,174,,W64,1,1,0,-1,1,,,,,,,6.92,3,27.8,9.266666667,,,3,24,10,
Player,00-0035710,,172,Yes,35577,$1,,IND,QB,1,Daniel Jones,,172,171,179,,Q25,1,1,1,0,1,,,,,,,14.92,13,253.44,19.49538462,,,8,29,13,
Player,SIN454221,,173,No,37992,$1,,TEN,RB,1,Nicholas Singleton,,173,172,221,,R60,1,1,1,0,1,,,,,,,3.04,0,0,0,,,0,22,9,
